method,seed,fitness,gap_pct,feasible,production_pct,recovery_pct,seconds
GA,0,300107096356.61676,0.011160868902942062,True,100.05181581972623,16.95912400132093,24.44787540001562
GA,1,300076503725.27704,0.02135363585434223,True,100.11851378953355,16.94291139339658,24.615960200026166
GA,2,300121892179.9418,0.006231238060428461,True,100.01952174155547,17.255019035685503,26.5944170000148
GA,3,300120252772.25476,0.0067774513072225645,True,100.00034245522016,16.85784144568429,19.635729299974628
GA,4,300090447450.322,0.016707904722565527,True,100.14695380277672,16.921220985946317,15.970372300012968
GA,5,300120251070.875,0.006778018168150757,True,100.00140344177838,17.08436551735295,21.26390540000284
GA,6,300096277882.969,0.014765337555442983,True,100.16884108046196,17.108327628256117,18.772438700019848
GA,7,300111491349.4738,0.009696557531763217,True,100.01850917951242,16.932525067533167,10.039278200012632
GA,8,300118756489.4177,0.00727597861865023,True,100.01301269364149,17.017908116159447,10.959998399950564
GA,9,300083693742.0672,0.0189580862625158,True,100.13230606322853,16.96404943895922,9.973566300002858
SA,0,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,1.2756445000413805
SA,1,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,1.251680799992755
SA,2,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,1.2847129000001587
SA,3,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,1.4470010999939404
SA,4,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,1.3109060000278987
SA,5,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,2.9639730000053532
SA,6,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,2.126930199970957
SA,7,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,2.6923447999870405
SA,8,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,4.246294600015972
SA,9,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,6.350131099985447
TS,0,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,2.0667673000134528
TS,1,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,1.7508169999928214
TS,2,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,1.3222443999839015
TS,3,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,0.8492789999581873
TS,4,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,1.1007313000154682
TS,5,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,0.9613455000217073
TS,6,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,0.8788008000119589
TS,7,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,0.7447605999768712
TS,8,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,0.861881299992092
TS,9,300098499967.9179,0.014024989535719614,True,100.24023919412531,17.35478987649801,1.3734466000460088
