method,seed,fitness,gap_pct,agree_pct,recovery_pct,seconds
GA,0,301294213785.1296,0.007490087390205985,98.58949416342413,18.85693272740433,9.001744400011376
GA,1,301283270590.12836,0.011121878126869609,98.49221789883269,18.695812659657484,9.403017200005706
GA,2,301293612952.502,0.007689489701032658,98.58949416342413,18.664602562164003,8.357769700000063
GA,3,301285987156.18286,0.010220313325074212,98.39494163424123,18.69234143017515,7.893624099961016
GA,4,301268116156.1279,0.016151280693121287,98.10311284046692,18.657277616081846,7.846970800019335
GA,5,301284269924.66595,0.010790222342971913,98.10311284046692,18.700840114752104,7.910594400018454
GA,6,301281890876.8035,0.011579772742821052,98.2976653696498,18.764444124634295,7.838873100001365
GA,7,301277807380.13135,0.012934989878727555,98.10311284046692,18.6895136002305,7.913000900007319
GA,8,301298600252.8351,0.006034321247159874,98.49221789883269,18.88387836413446,7.784175399981905
GA,9,301287602331.1287,0.009684274498587272,98.2976653696498,18.82565128026693,7.870018799963873
SA,0,301316782675.4733,0.0,100.0,19.11696090669715,1.0989781999960542
SA,1,301316782675.4733,0.0,100.0,19.11696090669715,1.055337600002531
SA,2,301316782675.4733,0.0,100.0,19.11696090669715,1.01561360002961
SA,3,301316768682.1075,4.644071173359704e-06,99.95136186770428,19.182025650637428,1.0197740999865346
SA,4,301316782675.4733,0.0,100.0,19.11696090669715,1.021295899990946
SA,5,301316774910.5658,2.5769913852097995e-06,99.95136186770428,19.116951219748177,1.0567048999946564
SA,6,301316782675.4733,0.0,100.0,19.11696090669715,1.1027364999754354
SA,7,301316768682.1075,4.644071173359704e-06,99.95136186770428,19.182025650637428,1.014756899967324
SA,8,301316720644.10284,2.0586762520363155e-05,99.95136186770428,19.1054804683516,1.138250399962999
SA,9,301316782675.4733,0.0,100.0,19.11696090669715,1.031245600024704
TS,0,301316782675.4733,0.0,100.0,19.11696090669715,0.16280980000738055
TS,1,301316782675.4733,0.0,100.0,19.11696090669715,0.1671628999756649
TS,2,301316782675.4733,0.0,100.0,19.11696090669715,0.19375650002621114
TS,3,301316782675.4733,0.0,100.0,19.11696090669715,0.18135530001018196
TS,4,301316782675.4733,0.0,100.0,19.11696090669715,0.17376500001410022
TS,5,301316782675.4733,0.0,100.0,19.11696090669715,0.1736193000106141
TS,6,301316782675.4733,0.0,100.0,19.11696090669715,0.17419980000704527
TS,7,301316782675.4733,0.0,100.0,19.11696090669715,0.16890649998094887
TS,8,301316782675.4733,0.0,100.0,19.11696090669715,0.23090290004620329
TS,9,301316782675.4733,0.0,100.0,19.11696090669715,0.17306150001240894
