흔든작물,변화_pct,가격,회복률_무제약,회복률_제약,옥수수_pct,대두_pct,밀_pct,밀_카운티,밀_평균위도,전환카운티,무릎λ,온난화손실_pct
옥수수,-30.0,2.751,9.026264484273819,8.25353305717759,0.0,85.50903326780704,14.490966732192954,412,36.17870597304272,203,29.084308668979077,22.8570983716655
옥수수,-15.0,3.3405,13.768886945965834,11.070237736329245,0.6557198858197152,84.83719303806093,14.507087076119358,411,36.176632238810626,235,29.084308668979077,23.214625195032138
옥수수,0.0,3.93,16.651612781428536,13.988231161011788,12.268789838602135,73.53695199754121,14.19425816385665,419,36.07781733252845,222,42.29485053762257,25.502095082421246
옥수수,15.0,4.5195,18.66606104396432,17.769179138026278,57.53950241180773,29.867652956208957,12.592844631983311,367,36.066329217579586,427,29.084308668979077,26.708289577199796
옥수수,30.0,5.109,10.938491020750778,10.938491020750778,81.71904476164964,9.458401531084935,8.822553707265419,263,35.420674932856116,284,42.29485053762257,23.214362591045447
대두,-30.0,6.832,29.829280333436667,18.530173364167336,51.565759407210784,1.5888994412169972,46.845341151572214,1219,37.39895843262515,388,42.29485053762257,34.78092367696552
대두,-15.0,8.296,28.070302344602045,22.556347603487694,42.32730233211798,24.584334419839397,33.08836324804262,930,37.138176098042415,396,42.29485053762257,34.171543898107814
대두,0.0,9.76,16.651612781428536,13.988231161011788,12.268789838602135,73.53695199754121,14.19425816385665,419,36.07781733252845,222,42.29485053762257,25.502095082421246
대두,15.0,11.223999999999998,11.06965428442555,8.71974425282496,2.685835114789294,90.99096144373348,6.323203441477226,171,35.63623121115908,157,61.50582440722752,20.598850948261827
대두,30.0,12.688,8.127819025133622,5.70320645992147,1.233028645153042,95.8185395220473,2.9484318327996535,79,35.51208262547325,102,89.4427190999916,18.675621115362766
밀,-30.0,3.5349999999999997,16.933622609407877,14.115371322899916,12.982617219733587,83.4477670824511,3.5696156978153155,84,34.79811202007985,258,42.29485053762257,27.519319185741466
밀,-15.0,4.2924999999999995,15.88639570624364,12.985235567152994,12.735669580860893,79.63350622006472,7.630824199074394,198,35.652458271357474,257,42.29485053762257,26.474196723601246
밀,0.0,5.05,16.651612781428536,13.988231161011788,12.268789838602135,73.53695199754121,14.19425816385665,419,36.07781733252845,222,42.29485053762257,25.502095082421246
밀,15.0,5.807499999999999,22.628152942281606,19.154604529524526,11.427931537842582,63.85662669835144,24.715441763805973,731,36.62784062492608,268,42.29485053762257,24.622862597201514
밀,30.0,6.565,40.12655726014761,36.49929549032769,9.900891696030055,40.8552858872994,49.24382241667054,1245,37.68912785863452,491,42.29485053762257,24.08314533292218
